BJ-01,北京,邹负第,450603199503062291,清华附中,高一,1
BJ-02,北京,萧兰,450603199503062292,清华附中,高一,2
BJ-03,北京,常息包,450603199503062293,清华附中,高一,3
BJ-04,北京,苗练悲,450603199503062294,清华附中,高一,4
BJ-05,北京,姚也另,450603199503062295,清华附中,高一,5
BJ-06,北京,孙六,450603199503062296,清华附中,高一,6
BJ-07,北京,陶众,450603199503062297,清华附中,高一,7
BJ-08,北京,郝它,450603199503062298,清华附中,高一,8
BJ-09,北京,唐寻工,450603199503062299,清华附中,高一,9
BJ-10,北京,花春,4506031995030622910,清华附中,高一,10
BJ-11,北京,水胜王,4506031995030622911,清华附中,高一,11
BJ-12,北京,梁救,4506031995030622912,清华附中,高一,12
BJ-13,北京,韩树,4506031995030622913,清华附中,高一,13
BJ-14,北京,成走,4506031995030622914,清华附中,高一,14
BJ-15,北京,褚乱青,4506031995030622915,清华附中,高一,15
BJ-16,北京,严农著,4506031995030622916,清华附中,高一,16
BJ-17,北京,柏悲独,4506031995030622917,清华附中,高一,17
BJ-18,北京,奚希习,4506031995030622918,清华附中,高一,18
BJ-19,北京,章党一,4506031995030622919,清华附中,高一,19
BJ-20,北京,梁梦,4506031995030622920,清华附中,高一,20
BJ-21,北京,董贝悲,4506031995030622921,清华附中,高一,21
BJ-22,北京,孙他广,4506031995030622922,清华附中,高一,22
BJ-23,北京,成盛仍,4506031995030622923,清华附中,高一,23
BJ-24,北京,卞无,4506031995030622924,清华附中,高一,24
BJ-25,北京,朱正分,4506031995030622925,清华附中,高一,25
BJ-26,北京,毛帝渐,4506031995030622926,清华附中,高一,26
BJ-27,北京,柏前,4506031995030622927,清华附中,高一,27
BJ-28,北京,汤总,4506031995030622928,清华附中,高一,28
BJ-29,北京,水素会,4506031995030622929,清华附中,高一,29
BJ-30,北京,熊摇,4506031995030622930,清华附中,高一,30
BJ-31,北京,乐臓丈,4506031995030622931,清华附中,高一,31
BJ-32,北京,褚居,4506031995030622932,清华附中,高一,32
BJ-33,北京,毛置,4506031995030622933,清华附中,高一,33
BJ-34,北京,伍右,4506031995030622934,清华附中,高一,34
BJ-35,北京,邬比营,4506031995030622935,清华附中,高一,35
BJ-36,北京,谈险,4506031995030622936,清华附中,高一,36
BJ-37,北京,姜喊,4506031995030622937,清华附中,高一,37
BJ-38,北京,吕挥已,4506031995030622938,清华附中,高一,38
BJ-39,北京,鲁流,4506031995030622939,清华附中,高一,39
BJ-40,北京,唐眼千,4506031995030622940,清华附中,高一,40
BJ-41,北京,葛毕,4506031995030622941,清华附中,高一,41
BJ-42,北京,费等,4506031995030622942,清华附中,高一,42
BJ-43,北京,梁宫,4506031995030622943,清华附中,高一,43
BJ-44,北京,马样,4506031995030622944,清华附中,高一,44
BJ-45,北京,袁活千,4506031995030622945,清华附中,高一,45
BJ-46,北京,尤云,4506031995030622946,清华附中,高一,46
BJ-47,北京,凤边,4506031995030622947,清华附中,高一,47
BJ-48,北京,祝局与,4506031995030622948,清华附中,高一,48
BJ-49,北京,潘持,4506031995030622949,清华附中,高一,49
BJ-50,北京,昌朝验,4506031995030622950,清华附中,高一,50
